Rank,Player,Nation,Primary_Positions,Secondary_Position,Competion,Age,Born,MP,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
2796,Philipp Lienhart,tr TUR,MiDefenderielder,Forward, Ligue 1,26,1997,27,16,1312,14.6,5,2,7,5,0,0,5,0,5.4,5.4,1.9,7.3,31,48,90,0.34,0.14,0.48,0.34,0.48,0.37,0.13,0.5,0.37,0.5
1172,Michael Ndiweni,dk DEN,MiDefenderielder,, Premier League,27,1995,36,8,1311,14.6,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,17,134,29,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13
187,Cher Ndour,al ALB,MiDefenderielder,Forward, Serie A,24,1999,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51,49,70,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33
828,Davie Selke,fr FRA,Defender,, Premier League,21,2002,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,15,40,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02
1909,Kevin Behrens,fr FRA,Defender,Midfielder,Bundliga,22,2000,29,13,1309,14.5,3,2,5,3,0,0,5,1,1.3,1.3,2.2,3.5,55,61,62,0.21,0.14,0.34,0.21,0.34,0.09,0.15,0.24,0.09,0.24
547,Álvaro Negredo,eng ENG,MiDefenderielder,, Premier League,29,1993,23,14,1304,14.5,1,1,2,1,0,0,4,0,1,1,1.3,2.2,21,51,39,0.07,0.07,0.14,0.07,0.14,0.07,0.09,0.16,0.07,0.16
1836,Reiss Nelson,uy URU,Forward,,La Liga,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Zack Nelson,be BEL,MiDefenderielder,, Premier League,23,1999,17,16,1303,14.5,1,3,4,1,0,0,4,0,0.6,0.6,1.4,2,29,72,13,0.07,0.21,0.28,0.07,0.28,0.04,0.1,0.14,0.04,0.14
2521,Alex Sola,uy URU,Defender,, La Liga,35,1988,16,15,1299,14.4,0,2,2,0,0,0,7,1,0.3,0.3,0.8,1.2,20,58,47,0,0.14,0.14,0,0.14,0.02,0.06,0.08,0.02,0.08
2760,Josip Stanišić,eng ENG,MiDefenderielder,, Premier League,19,2004,16,15,1297,14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,14,79,10,0,0.21,0.21,0,0.21,0.02,0.17,0.19,0.02,0.19
1840,Etrit Berisha,eng ENG,Midfielder,,Premier League,18,2005,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Robert Skov,fr FRA,MiDefenderielder,, Ligue 1,34,1989,21,17,1296,14.4,1,0,1,1,0,0,4,0,0.4,0.4,0.2,0.6,8,81,10,0.07,0,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
1842,Norman Theuerkauf,co COL,Forward,Midfielder,Serie A,32,1991,18,2,409,4.5,2,1,3,2,0,0,0,0,1.5,1.5,1.7,3.3,19,24,57,0.44,0.22,0.66,0.44,0.66,0.34,0.38,0.72,0.34,0.72
1642,Timothy Weah,es ESP,Defender,, La Liga,32,1991,20,13,1296,14.4,0,0,0,0,0,0,5,0,0.4,0.4,0,0.4,33,97,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03
2571,Jessic Ngankam,it ITA,Defender,, Serie A,20,2003,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1,1.3,26,51,28,0,0.07,0.07,0,0.07,0.02,0.07,0.09,0.02,0.09
1845,Nadir Zortea,ie IRL,Defender,Forward,Premier League,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1266,Steve Ngoura,hr CRO,Defender,,Bundliga,27,1995,21,14,1294,14.4,0,2,2,0,0,1,4,0,1.4,0.6,2.3,2.9,22,52,46,0,0.14,0.14,0,0.14,0.1,0.16,0.26,0.04,0.2
16,Milan Đurić,ar ARG,Defender,, La Liga,31,1991,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13
1010,Formose Mendy,es ESP,MiDefenderielder,, Serie A,21,2002,29,13,1291,14.3,1,1,2,1,0,0,6,0,1.2,1.2,1,2.2,25,49,41,0.07,0.07,0.14,0.07,0.14,0.08,0.07,0.15,0.08,0.15
1849,Tanguy Nianzou,xk KVX,Midfielder,Forward,de Bundesliga,25,1998,10,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.6,6,13,7,0,0,0,0,0,0.06,0.48,0.54,0.06,0.54
863,Nemanja Matić,ch SUI,Defender,,Bundliga,27,1996,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,9,53,9,0,0.14,0.14,0,0.14,0.04,0.05,0.09,0.04,0.09
1851,Raúl Torrente,zm ZAM,Forward,Midfielder,Serie A,20,2003,5,0,39,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,1,0,2,2.31,0,2.31,2.31,2.31,0.17,0,0.17,0.17,0.17
865,Jacob Bruun Larsen,es ESP,MiDefenderielder,, La Liga,30,1992,26,14,1285,14.3,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1,11,52,26,0,0.07,0.07,0,0.07,0.02,0.05,0.07,0.02,0.07
1853,Hans Nicolussi Caviglia,no NOR,Defender,Forward,Ligue 1,20,2002,7,2,197,2.2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,16,0,0,0,0,0,0.01,0,0.01,0.01,0.01
138,Moritz Broschinski,is ISL,Forward,Midfielder, Ligue 1,20,2003,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.8,0.8,1.5,2.2,25,48,90,0.14,0,0.14,0.14,0.14,0.05,0.1,0.16,0.05,0.16
1739,Arnaud Nordin,fr FRA,Defender,, Ligue 1,21,2002,16,15,1283,14.3,0,1,1,0,0,0,0,0,0.7,0.7,1.3,2,34,98,62,0,0.07,0.07,0,0.07,0.05,0.09,0.14,0.05,0.14
75,Nathaniel Adjei,de GER,Forward,Midfielder,Bundliga,22,2001,26,14,1282,14.2,4,0,4,4,0,0,4,0,3,3,0.6,3.6,51,33,95,0.28,0,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26
