Rank,Player,Nation,Primary_Positions,Secondary_Position,Competion,Age,Born,MP,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
844,Wladimiro Falcone,it ITA,GoalKeeper,, Serie A,28,1995,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0
961,Paulo Gazzaniga,ar ARG,GoalKeeper,, La Liga,31,1992,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
3,Paxten Aaronson,us USA,Midfielder,,de Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0,0.89,0.89,0,0.89,0.11,0.07,0.19,0.11,0.19
4,Keyliane Abdallah,fr FRA,Forward,,Ligue 1,17,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1338,Max Kilman,eng ENG,Defender,, Premier League,26,1997,38,38,3420,38,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22,117,5,0.05,0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08
1467,Bernd Leno,de GER,GoalKeeper,, Premier League,31,1992,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nabil Aberdin,fr FRA,Defender,,La Liga,20,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1942,Jan Oblak,si SVN,GoalKeeper,, La Liga,30,1993,38,38,3420,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,André Onana,cm CMR,GoalKeeper,, Premier League,27,1996,38,38,3420,38,0,0,0,0,0,0,5,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0,0,0,0
2125,Jordan Pickford,eng ENG,GoalKeeper,, Premier League,29,1994,38,38,3420,38,0,0,0,0,0,0,5,0,0,0,0.1,0.1,1,6,0,0,0,0,0,0,0,0,0,0,0
2320,William Saliba,fr FRA,Defender,, Premier League,22,2001,38,38,3420,38,2,1,3,2,0,0,4,0,1.6,1.6,0.2,1.8,16,157,6,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05
2696,Guglielmo Vicario,it ITA,GoalKeeper,, Premier League,26,1996,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
13,Tammy Abraham,eng ENG,Forward,,Serie A,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,4,15,0.37,0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27
2554,James Tarkowski,eng ENG,Defender,, Premier League,30,1992,38,38,3419,38,1,1,2,1,0,0,11,0,2.6,2.6,2.5,5.1,15,130,20,0.03,0.03,0.05,0.03,0.05,0.07,0.06,0.13,0.07,0.13
15,Joshua Acheampong,eng ENG,Defender,,Premier League,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Joachim Andersen,dk DEN,Defender,, Premier League,27,1996,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12
17,Bénie Adama Traore,ci CIV,Forward,Midfielder,Premier League,20,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0,0,0,0,0,0.06,0.13,0.19,0.06,0.19
2478,David Soria,es ESP,GoalKeeper,, La Liga,30,1993,38,38,3413,37.9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,Sebastiano Luperto,it ITA,Defender,, Serie A,26,1996,38,38,3406,37.8,1,1,2,1,0,0,4,0,1.7,1.7,1,2.7,13,100,13,0.03,0.03,0.05,0.03,0.05,0.04,0.03,0.07,0.04,0.07
20,Tyler Adams,us USA,Midfielder,,Premier League,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1,0,0,0,0,0,0,0.06,0.06,0,0.06
21,Junior Adamu,at AUT,Forward,Midfielder,de Bundesliga,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0,0,0,0,0,0.05,0.1,0.16,0.05,0.16
1296,Thomas Kaminski,be BEL,GoalKeeper,, Premier League,30,1992,38,38,3405,37.8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
718,Stole Dimitrievski,mk MKD,GoalKeeper,, La Liga,29,1993,37,37,3330,37,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1798,Lorenzo Montipò,it ITA,GoalKeeper,, Serie A,27,1996,37,37,3330,37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0
2804,Illia Zabarnyi,ua UKR,Defender,, Premier League,20,2002,37,37,3330,37,1,0,1,1,0,0,5,0,1.1,1.1,0.4,1.5,24,109,1,0.03,0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04
1459,Florian Lejeune,fr FRA,Defender,, La Liga,32,1991,37,37,3327,37,3,1,4,3,0,0,5,0,3.3,3.3,0.7,4,15,114,4,0.08,0.03,0.11,0.08,0.11,0.09,0.02,0.11,0.09,0.11
2470,Dominic Solanke,eng ENG,Forward,, Premier League,25,1997,38,37,3325,36.9,19,3,22,17,2,3,3,0,19.6,17.2,3,20.3,52,60,184,0.51,0.08,0.6,0.46,0.54,0.53,0.08,0.61,0.47,0.55
2677,José Luis García Vayá,es ESP,MiDefenderielder,, La Liga,24,1998,37,37,3302,36.7,7,1,8,0,7,8,4,0,7.3,1,3.2,4.2,30,251,43,0.19,0.03,0.22,0,0.03,0.2,0.09,0.29,0.03,0.11
229,Federico Baschirotto,it ITA,Defender,, Serie A,26,1996,37,37,3294,36.6,0,1,1,0,0,0,3,1,1.7,1.5,0.7,2.1,28,96,3,0,0.03,0.03,0,0.03,0.05,0.02,0.07,0.04,0.06
30,Adryelson,br BRA,Defender,Forward,Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Adson,br BRA,Midfielder,Forward,Ligue 1,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0,0,0,0,0,0.09,0.04,0.13,0.09,0.13
605,Bryan Cristante,it ITA,MiDefenderielder,Defender, Serie A,28,1995,37,37,3289,36.5,3,4,7,3,0,0,8,0,4,4,2.9,6.9,47,234,80,0.08,0.11,0.19,0.08,0.19,0.11,0.08,0.19,0.11,0.19
884,Mark Flekken,nl NED,GoalKeeper,, Premier League,30,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0,0,0.5,0.5,0,5,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01
34,Julen Agirrezabala,es ESP,GK,,La Liga,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lucien Agoume,fr FRA,Midfielder,,Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,Giorgi Mamardashvili,ge GEO,GoalKeeper,, La Liga,22,2000,37,37,3284,36.5,0,0,0,0,0,0,3,1,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
1495,Stanislav Lobotka,sk SVK,MiDefenderielder,, Serie A,28,1994,38,38,3282,36.5,0,1,1,0,0,0,4,0,0.6,0.6,1.3,1.9,29,188,34,0,0.03,0.03,0,0.03,0.02,0.04,0.05,0.02,0.05
2215,Álex Remiro,es ESP,GoalKeeper,, La Liga,28,1995,37,37,3275,36.4,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1580,Nemanja Maksimović,rs SRB,MiDefenderielder,, La Liga,28,1995,37,37,3265,36.3,4,0,4,4,0,0,4,0,5.5,5.5,1.1,6.6,22,73,35,0.11,0,0.11,0.11,0.11,0.15,0.03,0.18,0.15,0.18
40,Brandon Aguilera,cr CRC,Forward,,Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Naouirou Ahamada,fr FRA,Midfielder,Forward,Premier League,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0,0.5,19,25,20,0,0,0,0,0,0.13,0.01,0.13,0.13,0.13
2247,Antonee Robinson,us USA,Defender,, Premier League,25,1997,37,37,3265,36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,99,129,194,0,0.17,0.17,0,0.17,0.02,0.11,0.13,0.02,0.13
43,Joseph Aidoo,gh GHA,Defender,,La Liga,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04
1064,Bruno Guimarães,br BRA,MiDefenderielder,, Premier League,25,1997,37,37,3263,36.3,7,8,15,7,0,0,9,0,4.8,4.8,6.4,11.2,65,283,73,0.19,0.22,0.41,0.19,0.41,0.13,0.18,0.31,0.13,0.31
2668,Álvaro Vallés,es ESP,GoalKeeper,, La Liga,26,1997,37,37,3263,36.3,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1270,Filip Jørgensen,dk DEN,GoalKeeper,, La Liga,21,2002,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,Vanja Milinković-Savić,rs SRB,GoalKeeper,, Serie A,26,1997,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178,Predrag Rajković,rs SRB,GoalKeeper,, La Liga,27,1995,36,36,3240,36,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
1643,Josep Martinez,es ESP,GoalKeeper,, Serie A,25,1998,36,36,3239,36,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,Marley Aké,fr FRA,Forward,,Serie A,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,Nehuén Pérez,ar ARG,Defender,, Serie A,23,2000,36,36,3238,36,0,0,0,0,0,0,9,1,1.3,1.3,0.2,1.5,28,119,24,0,0,0,0,0,0.04,0,0.04,0.04,0.04
2737,Walace,br BRA,MiDefenderielder,, Serie A,28,1995,37,37,3238,36,2,0,2,2,0,0,7,0,0.8,0.8,1.1,1.9,37,127,22,0.06,0,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05
686,Giovanni Di Lorenzo,it ITA,Defender,, Serie A,29,1993,36,36,3234,35.9,1,6,7,1,0,0,6,0,3.1,3.1,4.9,8,95,304,250,0.03,0.17,0.19,0.03,0.19,0.09,0.14,0.22,0.09,0.22
379,Gleison Bremer,br BRA,Defender,, Serie A,26,1997,36,36,3233,35.9,3,0,3,3,0,0,9,0,1.4,1.4,0.4,1.9,7,120,4,0.08,0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
55,Ebenezer Akinsanmiro,ng NGA,Midfielder,,Serie A,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.23,0.23,0,0.23
2226,Declan Rice,eng ENG,MiDefenderielder,, Premier League,24,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24
57,Paul Akouokou,ci CIV,Midfielder,,La Liga,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,Matteo Pessina,ci CIV,Midfielder,,Ligue 1,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,13,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02
2107,David Akpan Ankeye,it ITA,MiDefenderielder,, Serie A,26,1997,37,37,3222,35.8,6,3,9,2,4,5,5,1,6.3,2.4,1.1,3.5,69,190,53,0.17,0.08,0.25,0.06,0.14,0.18,0.03,0.21,0.07,0.1
60,Marin Pongračić,ng NGA,Forward,,Serie A,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
2144,Ollie Watkins,hr CRO,Defender,, Serie A,25,1997,36,36,3219,35.8,0,0,0,0,0,0,10,1,1.2,1.2,0.4,1.5,45,134,7,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
2747,Kirian Rodríguez,eng ENG,Forward,, Premier League,27,1995,37,37,3217,35.7,19,13,32,19,0,0,4,0,16.8,16.8,7.3,24.2,62,55,214,0.53,0.36,0.9,0.53,0.9,0.47,0.21,0.68,0.47,0.68
2259,Tyrick Mitchell,es ESP,MiDefenderielder,, La Liga,27,1996,37,36,3211,35.7,6,2,8,6,0,0,8,0,2.1,2.1,1.6,3.7,46,296,78,0.17,0.06,0.22,0.17,0.22,0.06,0.05,0.1,0.06,0.1
1775,Thiago Alcántara,eng ENG,Defender,Midfielder, Premier League,23,1999,37,37,3204,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,32,94,159,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12
65,Carlos Alcaraz,es ESP,Midfielder,,Premier League,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Aleix García,ar ARG,Midfielder,,Serie A,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6,27,9,0,0.24,0.24,0,0.24,0.09,0.03,0.12,0.09,0.12
938,Unai Simón,es ESP,MiDefenderielder,, La Liga,26,1997,37,36,3199,35.5,3,6,9,3,0,0,4,1,1.8,1.8,5.5,7.3,58,294,52,0.08,0.17,0.25,0.08,0.25,0.05,0.16,0.21,0.05,0.21
2440,Mika Màrmol,es ESP,GoalKeeper,, La Liga,26,1997,36,36,3182,35.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,Virgil van Dijk,es ESP,Defender,, La Liga,21,2002,36,36,3178,35.3,0,1,1,0,0,0,6,1,0.2,0.2,1,1.1,36,142,13,0,0.03,0.03,0,0.03,0,0.03,0.03,0,0.03
2672,Diogo Dalot,nl NED,Defender,, Premier League,32,1991,36,36,3177,35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,32,200,7,0.06,0.06,0.11,0.06,0.11,0.08,0.04,0.12,0.08,0.12
629,Aboubacar Ali,pt POR,Defender,, Premier League,24,1999,36,35,3174,35.3,2,3,5,2,0,0,6,1,1.7,1.7,2.9,4.6,52,124,111,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.13,0.05,0.13
72,Mohamed Ali Cho,fr FRA,Midfielder,Forward,Ligue 1,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0,0.69,0.69,0,0.69,0.17,0.05,0.22,0.17,0.22
73,Morgan Gibbs-White,fr FRA,Forward,Midfielder,La Liga,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0,0,0,0,0,0.14,0.04,0.18,0.14,0.18
974,Andrea Consigli,eng ENG,MiDefenderielder,Forward, Premier League,23,2000,37,35,3156,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.6,80,170,181,0.14,0.29,0.43,0.11,0.4,0.2,0.24,0.44,0.17,0.42
566,Wojciech Szczęsny,it ITA,GoalKeeper,, Serie A,36,1987,35,35,3150,35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2540,Carlos Neva,pl POL,GoalKeeper,, Serie A,33,1990,35,35,3150,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,Tadeo Allende,es ESP,Defender,, La Liga,27,1996,36,36,3146,35,0,2,2,0,0,0,4,0,0.1,0.1,3.2,3.3,43,111,98,0,0.06,0.06,0,0.06,0,0.09,0.1,0,0.1
78,Morten Frendrup,ar ARG,Midfielder,Forward,La Liga,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0,0.27,0.27,0.27,0.33,0.1,0.43,0.33,0.43
909,Emerson Palmieri,dk DEN,MiDefenderielder,, Serie A,22,2001,37,36,3145,34.9,2,5,7,2,0,0,6,0,1.7,1.7,1.6,3.3,36,105,69,0.06,0.14,0.2,0.06,0.2,0.05,0.05,0.09,0.05,0.09
2029,Rubén Alcaraz,it ITA,Defender,, Premier League,28,1994,36,35,3137,34.9,1,2,3,1,0,0,10,0,1.5,1.5,2.4,3.9,59,125,124,0.03,0.06,0.09,0.03,0.09,0.04,0.07,0.11,0.04,0.11
67,Vladimír Coufal,es ESP,MiDefenderielder,, La Liga,32,1991,36,36,3134,34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09
592,Marcos Alonso,cz CZE,Defender,, Premier League,30,1992,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4,4.3,68,119,126,0,0.2,0.2,0,0.2,0.01,0.11,0.12,0.01,0.12
83,Conor Gallagher,es ESP,Defender,,La Liga,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0,0,0,0,0,0.03,0.18,0.21,0.03,0.21
932,Matìas Soulé,eng ENG,MiDefenderielder,, Premier League,23,2000,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5,9.2,62,172,122,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27
2486,Bruno Fernandes,ar ARG,Forward,Midfielder, Serie A,20,2003,36,36,3121,34.7,11,3,14,6,5,6,4,0,10.5,5.7,6.6,12.3,115,198,211,0.32,0.09,0.4,0.17,0.26,0.3,0.19,0.49,0.17,0.36
862,Jarrad Branthwaite,pt POR,MiDefenderielder,Forward, Premier League,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51
371,Pascal Groß,eng ENG,Defender,, Premier League,21,2002,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1,2.8,2,74,6,0.09,0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08
1041,Adam Marušić,de GER,MiDefenderielder,Defender, Premier League,32,1991,36,34,3114,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4
1648,Martin Ødegaard,me MNE,Defender,, Serie A,30,1992,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35,118,108,0.03,0,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04
2849,Skelly Alvero,no NOR,MiDefenderielder,, Premier League,24,1998,35,35,3091,34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45
91,Pedro Porro,fr FRA,Midfielder,,Ligue 1,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0,0.4,3,27,13,0.21,0,0.21,0.21,0.21,0.09,0,0.09,0.09,0.09
92,Nélson Semedo,fr FRA,Midfielder,,de Bundesliga,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.4,1,9,6,0.73,0,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27
2146,Amath,es ESP,Defender,, Premier League,23,1999,35,35,3089,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.2,0.29,0.09,0.29,0.09,0.21,0.3,0.09,0.3
2408,Lorenzo Amatucci,pt POR,Defender,Midfielder, Premier League,29,1993,36,36,3084,34.3,0,1,1,0,0,0,10,1,1.3,1.3,1.7,3,103,138,150,0,0.03,0.03,0,0.03,0.04,0.05,0.09,0.04,0.09
95,Jordan Amavi,sn SEN,Forward,Midfielder,La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0,0,0,0,0,0.35,0.09,0.44,0.35,0.44
96,Andrea Pinamonti,it ITA,Midfielder,,Serie A,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04
97,Cristhian Mosquera,fr FRA,Defender,,Ligue 1,29,1994,2,1,91,1,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,0,2,1,0.99,0,0.99,0.99,0.99,0.1,0,0.1,0.1,0.1
2131,Ezri Konsa,it ITA,Forward,, Serie A,24,1999,38,37,3076,34.2,11,1,12,9,2,3,4,0,8.9,6.6,1.9,8.4,17,45,165,0.32,0.03,0.35,0.26,0.29,0.26,0.05,0.32,0.19,0.25
1812,Noah Atubolu,es ESP,Defender,, La Liga,19,2004,36,33,3075,34.2,0,0,0,0,0,0,2,0,0.7,0.7,0,0.7,14,77,4,0,0,0,0,0,0.02,0,0.02,0.02,0.02
1367,Oliver Baumann,eng ENG,Defender,, Premier League,25,1997,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3,37,136,33,0.03,0,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09
156,Nadiem Amiri,de GER,GoalKeeper,,Bundliga,21,2002,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,Kofi Amoako,de GER,GoalKeeper,,Bundliga,33,1990,34,34,3060,34,0,1,1,0,0,0,1,0,0,0,0.2,0.2,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01
103,Marcin Bułka,de GER,Midfielder,,de Bundesliga,26,1996,8,1,86,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,5,6,6,0,0,0,0,0,0.13,0.03,0.16,0.13,0.16
104,Yehvann Diouf,de GER,Midfielder,,de Bundesliga,18,2005,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Patrick Mainka,pl POL,GoalKeeper,, Ligue 1,23,1999,34,34,3060,34,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
726,Steve Mandanda,fr FRA,GoalKeeper,, Ligue 1,23,1999,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1571,Kevin Müller,de GER,Defender,,Bundliga,28,1994,34,34,3060,34,2,0,2,2,0,0,1,0,3.2,3.2,0.1,3.2,33,122,6,0.06,0,0.06,0.06,0.06,0.09,0,0.09,0.09,0.09
1595,Komnen Andrić,fr FRA,GoalKeeper,, Ligue 1,38,1985,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1828,Yvon Mvogo,de GER,GoalKeeper,,Bundliga,32,1991,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Guillaume Restes,rs SRB,Forward,,Ligue 1,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,24,0,0,0,0,0,0.03,0.1,0.12,0.03,0.12
1852,Marvin Schwäbe,ch SUI,GoalKeeper,, Ligue 1,29,1994,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,Fabrizio Angileri,fr FRA,GoalKeeper,, Ligue 1,18,2005,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2393,Jaidon Anthony,de GER,GoalKeeper,,Bundliga,28,1995,34,34,3060,34,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0,0,0,0
114,Antonio Sivera,ar ARG,Defender,Midfielder,La Liga,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0,0,1.3,1.3,2,7,6,0,0,0,0,0,0,0.73,0.73,0,0.73
115,Yann Sommer,eng ENG,Forward,,Premier League,23,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04
2449,Vitaly Janelt,es ESP,GoalKeeper,, La Liga,26,1996,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2476,Fabian Schär,ch SUI,GoalKeeper,, Serie A,34,1988,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,Jeremías Ledesma,de GER,MiDefenderielder,Defender, Premier League,25,1998,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19
2378,Stredair Appuah,ch SUI,Defender,, Premier League,31,1991,36,35,3054,33.9,4,1,5,4,0,0,5,0,2.5,2.5,0.7,3.3,28,133,20,0.12,0.03,0.15,0.12,0.15,0.07,0.02,0.1,0.07,0.1
1455,Mauro Arambarri,ar ARG,GoalKeeper,, La Liga,30,1993,34,34,3048,33.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Raoul Bellanova,fr FRA,Forward,Midfielder,Ligue 1,19,2004,4,0,84,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,3,0,2,0,0,0,0,0,0.46,0,0.46,0.46,0.46
122,Asaf Arania,uy URU,Midfielder,,La Liga,27,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0,0.6,2,20,6,0,0,0,0,0,0.14,0.01,0.15,0.14,0.15
262,Valentin Gendrey,it ITA,Defender,, Serie A,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,2,2,5,7.1,141,98,202,0.03,0.21,0.24,0.03,0.24,0.06,0.15,0.21,0.06,0.21
124,Gabriel Magalhães,il ISR,Midfielder,,de Bundesliga,17,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
